Strain,Stress
0.002938355,224.8745162
0.002951914,225.6043616
0.002971041,226.3322562
0.002992255,227.0575891
0.003016142,227.780462
0.003043712,228.5024524
0.003073982,229.221891
0.003102709,229.9396354
0.003122411,230.6554272
0.003142002,231.3689526
0.003155808,232.0796853
0.003167741,232.7883587
0.003176031,233.4929319
0.003182445,234.1952557
0.003189716,234.8949013
0.003193787,235.5915495
0.003196615,236.2850719
0.003201973,236.9767107
0.003209568,237.6649593
0.003220993,238.3512555
0.00323397,239.0352286
0.003252554,239.7163702
0.003275087,240.3950902
0.003301199,241.071826
0.003327458,241.7461065
0.003351889,242.416742
0.003376116,243.0847788
0.003394955,243.7500172
0.003409924,244.4132404
0.003421889,245.0737191
0.003431371,245.7323313
0.003438367,246.3884915
0.003445088,247.0434617
0.003451445,247.6954901
0.00345053,248.344097
0.003455639,248.9901343
0.003459599,249.6330037
0.003468369,250.2737818
0.003480949,250.9125213
0.003496839,251.5490064
0.003515274,252.1843839
0.00354008,252.8174173
0.003567643,253.4480502
0.00358736,254.0772345
0.003612455,254.7039777
0.003631059,255.326913
0.003649453,255.9471003
0.003664075,256.5643841
0.003676556,257.1781273
0.003684978,257.7888899
0.003691004,258.3983113
0.003695217,259.0050292
0.003697416,259.608071
0.003695343,260.2087396
0.003696139,260.8064902
0.003699806,261.4011046
0.003707012,261.9935272
0.00371983,262.5833602
0.003741054,263.1702011
0.003762207,263.7540235
0.003784332,264.3353132
0.003808327,264.9140598
0.003825774,265.4915458
0.003846507,266.0664223
0.003861462,266.6389492
0.003876529,267.2081867
0.003883647,267.7751486
0.003890588,268.3395107
0.003896249,268.9012894
0.003897684,269.4601067
0.003896995,270.016165
0.003896322,270.5698858
0.003901545,271.1212567
0.003910482,271.6692002
0.003924892,272.214444
0.003942724,272.7590204
0.003956683,273.3010981
0.003974835,273.8418213
0.003995622,274.3794475
0.004015439,274.9147707
0.004036093,275.4472729
0.004057694,275.9773556
0.004074396,276.5041299
0.004082374,277.0287962
0.004094909,277.5526391
0.004101192,278.0735771
0.004109707,278.5928693
0.004116521,279.1102366
0.004123494,279.6244987
0.004128668,280.1357505
0.004139357,280.6426624
0.004151754,281.1465998
0.004166341,281.6480206
0.004189223,282.1468263
0.004210961,282.6432217
0.00423272,283.1379115
0.004250739,283.6300779
0.004271695,284.1200292
0.004292772,284.6084797
0.004307333,285.0951984
0.00432025,285.5793118
0.004328785,286.0608183
0.00433973,286.541536
0.004353607,287.01838
0.004370129,287.4937513
0.00438988,287.9663448
0.00440657,288.4351285
0.004426933,288.9013116
0.00444738,289.3645354
0.004470226,289.8248945
0.004497374,290.2830879
0.004524743,290.7377762
0.004556473,291.1886701
0.004583947,291.6366471
0.004610322,292.0808261
0.004633142,292.5222855
0.004660274,292.9604898
0.00468337,293.3948721
0.004705803,293.825512
0.004732712,294.2525081
0.004761446,294.6768969
0.004797059,295.0971893
0.004830752,295.5141396
0.00486518,295.9279365
0.004899434,296.3377502
0.004938282,296.7435856
0.004980948,297.1457076
0.005031801,297.5429715
0.005084159,297.9369487
0.005136895,298.3267997
0.005195071,298.7125308
0.005251948,299.0948881
0.005310353,299.4731711
0.00537757,299.8471837
0.005450804,300.2157671
0.00553036,300.5808347
0.005613391,300.9404595
0.005692897,301.2950367
0.005772834,301.6451518
0.005857612,301.9908165
0.005938239,302.3328991
0.006019326,302.6707103
0.00610304,303.0030414
0.006188827,303.3300732
0.006282505,303.6530777
0.006384607,303.97129
0.006497057,304.2844395
0.006611568,304.5928885
0.006734271,304.8953246
0.006870704,305.1919105
0.007011812,305.4829876
0.007159791,305.7678272
0.007311807,306.0470757
0.007467834,306.3231162
0.007624872,306.5940433
0.007780917,306.8614695
0.007940918,307.1245964
0.008097863,307.3825572
0.008262211,307.6347171
0.008428999,307.8821607
0.008599185,308.1238323
0.008777053,308.3604704
0.008964741,308.5934381
0.009158712,308.8221235
0.009365866,309.047639
0.009574265,309.268709
0.009786596,309.4854502
0.010003763,309.6976748
0.010226294,309.9059087
0.010446644,310.1103615
0.010669538,310.3104264
0.010891828,310.5069787
0.011116221,310.699425
0.011345309,310.887307
0.011580187,311.0712104
0.011817108,311.2516605
0.012064379,311.4282979
0.01231013,311.6031815
0.012564129,311.7746973
0.012818986,311.9435204
0.013079926,312.1094212
0.013344701,312.2712945
0.013613994,312.4302765
0.013882944,312.5863625
0.01415144,312.7399216
0.014417706,312.8902236
0.014682941,313.038851
0.014956261,313.185097
0.015235931,313.329062
0.015516497,313.4707154
0.015804108,313.6094461
0.016097101,313.7464188
0.016391847,313.8825159
0.016689051,314.0173593
0.016984296,314.1502882
0.017278258,314.282024
0.017571165,314.4115614
0.017865659,314.5387996
0.018157839,314.6644877
0.0184457,314.7887882
0.018732144,314.9117928
0.019024162,315.035092
0.019315611,315.1572596
0.019606601,315.2786114
0.019900132,315.3988522
0.020194778,315.517172
0.020489985,315.6337771
0.020788306,315.7489328
0.021085058,315.8645049
0.021387365,315.9790051
0.021687208,316.0943213
0.021984254,316.2097887
0.022280148,316.3234188
0.022574906,316.4364797
